Istituto Principale,Scuola,Tipo Istituto,Tipo Gestione,Indirizzo,Comune,Telefono,Fax,Email istituto,Email segreteria,Sito web,Codice MIUR,CAP
ISTITUTO COMPRENSIVO VIGOLO VATTARO,SCUOLA SECONDARIA DI PRIMO GRADO VIGOLO VATTARO,Scuola Secondaria di Primo Grado,Statale,"Via Garibaldi - Vigolo Vattaro, 8",ALTOPIANO DELLA VIGOLANA,0461/848878,0461/845217,ic.vigolovattaro@pec.provincia.tn.it,segr.vigolovattaro@scuole.provincia.tn.it,www.icvigolovattaro.it,TNMM803017,38049
Scuola dell'infanzia di Povo,Scuola dell'Infanzia di Povo,Scuola dell'infanzia,Paritaria,"Via Pante', 1",TRENTO,0461-810049,,povo.presidente@fpsm.tn.it,povo.segretario@fpsm.tn.it,,,38123
ISTITUTO COMPRENSIVO VALLE DEI LAGHI - DRO,"SCUOLA SECONDARIA DI PRIMO GRADO ""C. MADRUZZO"" CAVEDINE",Scuola Secondaria di Primo Grado,Statale,"Via XXV Aprile, 7",CAVEDINE,0461/864026,0461/340648,ic.valledeilaghi@pec.provincia.tn.it,segr.ic.valledeilaghi@scuole.provincia.tn.it,www.icvalledeilaghidro.it,TNMM84402E,38073
ISTITUTO COMPRENSIVO VILLA LAGARINA,"SCUOLA PRIMARIA ""R. GALVAGNI"" POMAROLO",Scuola Primaria,Statale,"Piazzale Colonello Angheben, 5",POMAROLO,0464/411312,0464/411705,ic.villalagarina@pec.provincia.tn.it,segr.ic.villalagarina@scuole.provincia.tn.it,www.icvillalagarina.it,TNEE846027,38060
ISTITUTO COMPRENSIVO PERGINE 1,"SCUOLA PRIMARIA ""DON L. MILANI"" PERGINE VALSUGANA",Scuola Primaria,Statale,"Via Monte Cristallo, 2",PERGINE VALSUGANA,0461/532261,0461/533167,ic.pergine1@pec.provincia.tn.it,segr.ic.pergine1@scuole.provincia.tn.it,www.icpergine1.it/,TNEE81402Q,38057
Scuola dell'infanzia di Spormaggiore,Scuola dell'Infanzia di Spormaggiore,Scuola dell'infanzia,Paritaria,"Via dell Asilo, 2",SPORMAGGIORE,0461-653390,,spormaggiore.contabile@fpsm.tn.it,spormaggiore.segretario@fpsm.tn.it,,,38010
SCUOLA PARITARIA LA VELA - FONDAZIONE FAMIGLIA MATERNA - ROVERETO,"SCUOLA PRIMARIA ""LA VELA"" ROVERETO",Scuola Primaria,Paritaria,"Via Saibanti, 6",ROVERETO,0464/434047,,segreteria@lavela.famigliamaterna.it,segreteria@lavela.famigliamaterna.it,www.scuolaveronesi.it,TN1E00700T,38068
"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""C.A. Pilati"" - CLES",ISTITUTO TECNICO PER IL SETTORE ECONOMICO C.A. PILATI,Scuola Secondaria di Secondo Grado,Statale,"Via 4 Novembre, 35",CLES,0463/421695,0463/421477,pilati@pec.provincia.tn.it,segr.itetpilati@scuole.provincia.tn.it,www.istitutopilati.it,TNTD100001,38023
ISTITUTO COMPRENSIVO DI SCUOLA PRIMARIA E SECONDARIA DI PRIMIERO,LICEO SCIENTIFICO OPZIONE SCIENZE APPLICATE,Scuola Secondaria di Secondo Grado,Statale,"Via Delle Fonti - Transacqua, 10",PRIMIERO SAN MARTINO DI CASTROZZA,0439/62435,0439/762466,ic.primiero@pec.provincia.tn.it,segr.icprimiero@scuole.provincia.tn.it,www.scuoleprimiero.it,TNPS100005,38054
ISTITUTO COMPRENSIVO VALLE DI LEDRO,"SCUOLA PRIMARIA ""O. FERRARI"" ENGUISO",Scuola Primaria,Statale,"Via dei Concei - Enguiso - Concei, 27",LEDRO,0464/592800,0464/592819,ic.vallediledro@pec.provincia.tn.it,segr.ic.bezzecca@scuole.provincia.tn.it,www.icvallediledro.it,TNEE80601Q,38067
ISTITUTO COMPRENSIVO FONDO - REVO',SCUOLA PRIMARIA CASTELFONDO,Scuola Primaria,Statale,"Via Madonna Pellegrina, 5",BORGO D'ANAUNIA,0463/831134,0463/831746,ic.fondo@pec.provincia.tn.it,segr.ic.fondo@scuole.provincia.tn.it,www.icfondorevo.it,TNEE82801L,38020
"ISTITUTO COMPRENSIVO TRENTO 2 ""J. A. Comenius""","SCUOLA PRIMARIA ""R. BELENZANI"" S.VITO",Scuola Primaria,Statale,"Via S Vito, 169",TRENTO,0461/982113,0461/237554,ic.comenius@pec.provincia.tn.it,segr.ictn2@scuole.provincia.tn.it,www.icomenius.it,TNEE820045,38121
Scuola dell'infanzia di Padergnone,Scuola dell'Infanzia di Padergnone,Scuola dell'infanzia,Paritaria,"Via alle Cime, 14",VALLELAGHI,0461-864358,,padergnone.presidente@fpsm.tn.it,padergnone.segretario@fpsm.tn.it,,,38070
"ISTITUTO DI ISTRUZIONE ""L. Guetti"" - TIONE DI TRENTO",ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO SERALE,Scuola Secondaria di Secondo Grado,Statale,"Via Durone, 53",TIONE DI TRENTO,0465/321735,0465/322811,guetti@pec.provincia.tn.it,segr.guetti@scuole.provincia.tn.it,www.guetti.tn.it,TNTD007519,38079
ISTITUTO COMPRENSIVO MEZZOLOMBARDO - PAGANELLA,SCUOLA PRIMARIA NAVE SAN ROCCO,Scuola Primaria,Statale,"Piazza S Rocco, 15",TERRE D'ADIGE,0461/601125,0461/601125,ic.mezzolombardo@pec.provincia.tn.it,segr.ic.mezzolombardo@scuole.provincia.tn.it,www.icmezzolombardopaganella.it,TNEE82403B,38010
Istituto Formazione Professionale Alberghiero - Rovereto,SETTORE INDUSTRIA E ARTIGIANATO,Formazione professionale,Statale,"Viale Dei Colli, 17",ROVERETO,0464/439164,0464/435851,ifpa.rovereto@pec.provincia.tn.it,segr.ifpa.rovereto@scuole.provincia.tn.it,www.alberghierorovereto.it,TNCF011001,38068
"ISTITUTO COMPRENSIVO TRENTO 7 ""Rita Levi Montalcini""","SCUOLA PRIMARIA ""E. DECARLI"" MEANO",Scuola Primaria,Statale,"Via Delle Tre Croci, 40",TRENTO,0461/990287,0461/994418,ic.trento7@pec.provincia.tn.it,segr.ic.tn7@scuole.provincia.tn.it,www.trento7.it,TNEE85101N,38121
ISTITUTO SACRO CUORE - TRENTO,ISTITUTO TECNICO PER IL SETTORE ECONOMICO,Scuola Secondaria di Secondo Grado,Paritaria,"Piazza S Teresa Verzeri, 4",TRENTO,0461/981465,0461/982734,,istitutocomprensivo@istitutosacrocuore.it,www.istitutosacrocuore.it,TNTD035003,38122
ISTITUTO COMPRENSIVO FOLGARIA - LAVARONE - LUSERNA,Scuola dell'Infanzia di Luserna,Scuola dell'infanzia,Statale,"Via Mazzini - Prundle, 7",LUSERNA - LUSÉRN,0464/789608,0464/723563,scuolainfanzia.luserna@scuole.provincia.tn.it,segr.rella.folgaria@scuole.provincia.tn.it,www.icfolgarialavaroneluserna.it,,38040
ISTITUTO COMPRENSIVO TRENTO 3,"SCUOLA PRIMARIA ""G. B. DE GASPARI"" TRENTO",Scuola Primaria,Statale,"Via Zandonai, 4",TRENTO,0461/934977,0461/920605,ic.trento3@pec.provincia.tn.it,segr.ic.tn3@scuole.provincia.tn.it,http://www.ictrento3.it,TNEE85602T,38122
"LICEO SCIENTIFICO ""G. Galilei"" - TRENTO",LICEO SCIENTIFICO G. GALILEI,Scuola Secondaria di Secondo Grado,Statale,"Viale Bolognini, 88",TRENTO,0461/913479,0461/913367,galilei@pec.provincia.tn.it,segr.liceogalilei@scuole.provincia.tn.it,www.lsgalilei.org/,TNPS01000V,38122
ISTITUTO COMPRENSIVO BORGO VALSUGANA,"SCUOLA SECONDARIA DI PRIMO GRADO ""S. FANTE"" GRIGNO",Scuola Secondaria di Primo Grado,Statale,"Viale Trento,  ",GRIGNO,0461/753179,0461/754131,ic.borgovalsugana@pec.provincia.tn.it,segr.ic.borgovalsugana@scuole.provincia.tn.it,www.icborgovalsugana.gov.it,TNMM812023,38055
ISTITUTO COMPRENSIVO PREDAZZO TESERO PANCHIA' ZIANO,"SCUOLA PRIMARIA ""G. MANEGA"" TESERO",Scuola Primaria,Statale,"Via Fia, 11/A",TESERO,0462/813197,0462/500023,ic.predazzo@pec.provincia.tn.it,segr.ic.predazzo@scuole.provincia.tn.it,www.ic-predazzotesero.it,TNEE80804E,38038
"ISTITUTO DI ISTRUZIONE ""M. Curie"" - PERGINE VALSUGANA",ISTITUTO TECNICO PER IL SETTORE ECONOMICO SERALE,Scuola Secondaria di Secondo Grado,Statale,"Via S Pietro, 4",PERGINE VALSUGANA,0461/511397,0461/531743,curie@pec.provincia.tn.it,segr.curie.pergine@scuole.provincia.tn.it,www.curiepergine.it,TNTD00450R,38057
ISTITUTO COMPRENSIVO FOLGARIA - LAVARONE - LUSERNA,"SCUOLA SECONDARIA DI PRIMO GRADO ""P. RELLA"" FOLGARIA",Scuola Secondaria di Primo Grado,Statale,"Via Battisti, 24",FOLGARIA,0464/721283,0464/723563,ic.folgaria-lavarone@pec.provincia.tn.it,segr.rella.folgaria@scuole.provincia.tn.it,www.icfolgarialavaroneluserna.it,TNMM804013,38064
Scuola dell'infanzia di Sabbionara,Scuola dell'Infanzia di Sabbionara,Scuola dell'infanzia,Paritaria,"Piazza Conciliazione, 3/B",AVIO,0464-683225,,sabbionara.presidente@fpsm.tn.it,sabbionara.segretario@fpsm.tn.it,,,38063
Scuola dell'infanzia di Sopramonte,Scuola dell'Infanzia di Sopramonte,Scuola dell'infanzia,Paritaria,"Via Canelli - Sopramonte, 5",TRENTO,0461-867021,,sopramonte.presidente@fpsm.tn.it,sopramonte.segretario@fpsm.tn.it,,,38123
"ISTITUTO COMPRENSIVO BASSA VAL DI SOLE ""G. Ciccolini""",SCUOLA PRIMARIA S.BERNARDO RABBI,Scuola Primaria,Statale,"Frazione San Bernardo,  ",RABBI,0463/901237,0463/902866,ic.bassavaldisole@pec.provincia.tn.it,segr.ciccolini.male@scuole.provincia.tn.it,www.icbassavaldisole.it,TNEE83307A,38020
"ISTITUTO COMPRENSIVO DEL CHIESE ""Don L. Milani""","SCUOLA SECONDARIA DI PRIMO GRADO ""G. LEOPARDI"" STORO",Scuola Secondaria di Primo Grado,Statale,"Via Papaleoni, 5",STORO,0465/686039,0465/687076,ic.chiese-storo@pec.provincia.tn.it,segr.ic.chiese@scuole.provincia.tn.it,www.istitutodelchiese.it,TNMM838016,38089
ISTITUTO COMPRENSIVO ROVERETO SUD,"SCUOLA PRIMARIA ""A. ROSMINI"" MARCO",Scuola Primaria,Statale,"Via 2 Novembre, 57",ROVERETO,0464/420532,0464/432707,ic.roveretosud@pec.provincia.tn.it,segr.ic.roveretosud@scuole.provincia.tn.it,www.icroveretosud.eu,TNEE855033,38068
ISTITUTO COMPRENSIVO CEMBRA,SCUOLA SECONDARIA DI PRIMO GRADO VERLA GIOVO,Scuola Secondaria di Primo Grado,Statale,"Via Al Grec, 2",GIOVO,0461/683006,0461/682166,ic.cembra@pec.provincia.tn.it,segr.cembra@scuole.provincia.tn.it,www.iccembra.it,TNMM82203P,38030
ISTITUTO COMPRENSIVO ROVERETO NORD,"SCUOLA PRIMARIA ""M. K. GANDHI"" ROVERETO",Scuola Primaria,Statale,"Via Puccini, 22",ROVERETO,0464/420759,0464/480415,ic.roveretonord@pec.provincia.tn.it,segr.ic.roveretonord@scuole.provincia.tn.it,www.icroveretonord.it,TNEE85903A,38068
"LICEO ""A. Maffei"" - RIVA DEL GARDA",LICEO CLASSICO,Scuola Secondaria di Secondo Grado,Statale,"Via Alberti Lutti, 7",RIVA DEL GARDA,0464/552316,0464/552316,maffei@pec.provincia.tn.it,segr.liceo.maffei@scuole.provincia.tn.it,https://e.liceomaffei.it,TNPC01000Q,38066
ISTITUTO COMPRENSIVO MEZZOCORONA,"SCUOLA PRIMARIA ""F. BIASI"" S.MICHELE ALL'ADIGE",Scuola Primaria,Statale,"Via Biasi, 1",SAN MICHELE ALL'ADIGE,0461/605409,0461/605142,ic.mezzocorona@pec.provincia.tn.it,segr.ic.mezzocorona@scuole.provincia.tn.it,www.icmezzocorona.it,TNEE82302E,38010
ISTITUTO COMPRENSIVO VALLE DEI LAGHI - DRO,SCUOLA PRIMARIA SARCHE CALAVINO,Scuola Primaria,Statale,"Via Caffaro - Sarche - Calavino, 2",MADRUZZO,0461/864026,0461/340648,ic.valledeilaghi@pec.provincia.tn.it,segr.ic.valledeilaghi@scuole.provincia.tn.it,www.icvalledeilaghidro.it,TNEE84401E,38076
Scuola dell'infanzia di Marter,Scuola dell'Infanzia di Marter,Scuola dell'infanzia,Paritaria,"Piazza S Margherita, 2",RONCEGNO TERME,0461-764505,,marter.segretario@fpsm.tn.it,marter.segretario@fpsm.tn.it,,,38050
ISTITUTO COMPRENSIVO LEVICO TERME,"SCUOLA SECONDARIA DI PRIMO GRADO ""G. B. DE GASPARIS"" LEVICO TERME",Scuola Secondaria di Primo Grado,Statale,"Via della Pace, 5",LEVICO TERME,0461/706146,0461/706099,ic.levicoterme@pec.provincia.tn.it,segr.ic.levico@scuole.provincia.tn.it,www.iclevico.eu,TNMM818011,38056
Scuola dell'infanzia di Condino,Scuola dell'Infanzia di Condino,Scuola dell'infanzia,Paritaria,"Via Roma, 37, Condino",BORGO CHIESE,0465-621009,,condino.presidente@fpsm.tn.it,condino.segretario@fpsm.tn.it,,,38083
"SOCIETA' COOPERATIVA A R.L. ""I. DE CARNERI"" OXFORD CIVEZZANO",ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO,Scuola Secondaria di Secondo Grado,Paritaria,"Via Murialdo, 30",CIVEZZANO,0461/857003,0461/857284,oxford@pec.cooperazionetrentina.it,info@istitutodecarneri.it,www.istitutodecarneri.it,TNTE045005,38045
"ISTITUTO DI ISTRUZIONE ""La Rosa Bianca"" - CAVALESE","ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO ""LA ROSA BIANCA""",Scuola Secondaria di Secondo Grado,Statale,"Via Gandhi, 1",CAVALESE,0462/341449,0462/248071,weisserose@pec.provincia.tn.it,segr.iicavalese@scuole.provincia.tn.it,www.scuolefiemme.tn.it,TNTL00101B,38033
ISTITUTO COMPRENSIVO CAVALESE,"SCUOLA SECONDARIA DI PRIMO GRADO ""G. SEGANTINI"" CAVALESE",Scuola Secondaria di Primo Grado,Statale,"Piazza Verdi, 6",CAVALESE,0462/340314,0462/342294,ic.cavalese@pec.provincia.tn.it,segr.cavalese@scuole.provincia.tn.it,www.iccavalese.it,TNMM809016,38033
Scuola dell'infanzia di Torbole,Scuola dell'Infanzia di Torbole,Scuola dell'infanzia,Paritaria,"Via Don Davide Gioppi, 72",NAGO-TORBOLE,0464-505159,,torbole.presidente@fpsm.tn.it,torbole.segretario@fpsm.tn.it,,,38069
ISTITUTO COMPRENSIVO TIONE,SCUOLA PRIMARIA BONDO-BREGUZZO,Scuola Primaria,Statale,"Via Indipendenza - Bondo, 105",SELLA GIUDICARIE,0465/321053,0465/324039,ic.tione@pec.provincia.tn.it,segr.ictione@scuole.provincia.tn.it,www.ictione.tn.it,TNEE83601G,38087
"Scuola dell'infanzia di Riva ""Degasperi""","Scuola dell'Infanzia di Riva  ""Degasperi""",Scuola dell'infanzia,Paritaria,"Largo Caduti delle Foibe, 2",RIVA DEL GARDA,0464-553578,,riva.rione.presidente@fpsm.tn.it,riva.rione.segretario@fpsm.tn.it,,,38066
Scuola dell'infanzia di Bolognano,Scuola dell'Infanzia di Bolognano,Scuola dell'infanzia,Paritaria,"Piazza Vittoria, 1",ARCO,0464-516315,,bolognano.presidente@fpsm.tn.it,bolognano.segretario@fpsm.tn.it,,,38062
"Istituto Formazione Professionale Servizi alla Persona e Legno ""S. Pertini"" - Trento",SETTORE SERVIZI SERALE,Formazione professionale,Statale,"Viale Verona, 141",TRENTO,0461/933147,0461/931682,ifp.trento@pec.provincia.tn.it,ifp.trento@scuole.provincia.tn.it,https://ifpsandropertinitrento.it,,38123
ISTITUTO COMPRENSIVO FONDO - REVO',"SCUOLA PRIMARIA ""PADRE A. STEFENELLI"" FONDO",Scuola Primaria,Statale,"Piazza Don Stefenelli - Fondo, 2",BORGO D'ANAUNIA,0463/831134,0463/831746,ic.fondo@pec.provincia.tn.it,segr.ic.fondo@scuole.provincia.tn.it,www.icfondorevo.it,TNEE82804Q,38020
"LICEO ""B. Russell"" - CLES",LICEO SCIENTIFICO OPZIONE SCIENZE APPLICATE B. RUSSELL,Scuola Secondaria di Secondo Grado,Statale,"Via 4 Novembre, 35",CLES,0463/424049,0463/424577,russell@pec.provincia.tn.it,segr.russell@scuole.provincia.tn.it,www.liceorussell.eu,TNPS006018,38023
Scuola dell'infanzia di Pieve di Bono,Scuola dell'Infanzia di Pieve di Bono,Scuola dell'infanzia,Paritaria,"Via Fiera - Creto - Pieve di Bono, 9/B",PIEVE DI BONO-PREZZO,0465-674083,,pieve.bono.presidente@fpsm.tn.it,pieve.bono.segretario@fpsm.tn.it,,,38085
ISTITUTO COMPRENSIVO FONDO - REVO',"SCUOLA SECONDARIA DI PRIMO GRADO ""C.A. Martini"" REVO'",Scuola Secondaria di Primo Grado,Statale,"Via Canestrini, 7",NOVELLA,0463/831134,0463/831746,ic.fondo@pec.provincia.tn.it,segr.ic.fondo@scuole.provincia.tn.it,www.icfondorevo.it,TNMM82802L,38028
"ISTITUTO TECNICO ECONOMICO ""A. Tambosi"" - TRENTO",ISTITUTO TECNICO PER IL SETTORE ECONOMICO SERALE,Scuola Secondaria di Secondo Grado,Statale,"Via Brigata Acqui, 19",TRENTO,0461239955,0461230175,tambosibattisti@pec.provincia.tn.it,segr.tambositn@scuole.provincia.tn.it,http://tambosi.tn.it,TNTD180507,38122
"LICEO ""A. Maffei"" - RIVA DEL GARDA",LICEO SCIENTIFICO OPZIONE SCIENZE APPLICATE,Scuola Secondaria di Secondo Grado,Statale,"Via Alberti Lutti, 7",RIVA DEL GARDA,0464/552316,0464/552316,maffei@pec.provincia.tn.it,segr.liceo.maffei@scuole.provincia.tn.it,https://e.liceomaffei.it,TNPC01000Q,38066
ISTITUTO COMPRENSIVO PREDAZZO TESERO PANCHIA' ZIANO,"SCUOLA SECONDARIA DI PRIMO GRADO ""G. ALBERTI"" TESERO",Scuola Secondaria di Primo Grado,Statale,"Via Fia, 11/A",TESERO,0462/501131,0462/500023,ic.predazzo@pec.provincia.tn.it,segr.ic.predazzo@scuole.provincia.tn.it,www.ic-predazzotesero.it,TNMM80802B,38038
"LICEO ""B. Russell"" - CLES",LICEO DELLE SCIENZE UMANE,Scuola Secondaria di Secondo Grado,Statale,"Via 4 Novembre, 35",CLES,0463/424049,0463/424577,russell@pec.provincia.tn.it,segr.russell@scuole.provincia.tn.it,www.liceorussell.eu,TNPM006019,38023
Scuola dell'infanzia di Gardolo,Scuola dell'Infanzia di Gardolo,Scuola dell'infanzia,Paritaria,"Via S Anna, 9",TRENTO,0461-990296,,gardolo.segretario@fpsm.tn.it,gardolo.segretario@fpsm.tn.it,,,38121
ISTITUTO COMPRENSIVO STRIGNO E TESINO,SCUOLA SECONDARIA DI PRIMO GRADO CASTELLO TESINO,Scuola Secondaria di Primo Grado,Statale,"Via Battisti, 2",CASTELLO TESINO,0461/762046,0461/763409,ic.strignotesino@pec.provincia.tn.it,segr.ic.strignoetesino@scuole.provincia.tn.it,www.icstrignoetesino.it,TNMM80101G,38053
"ISTITUTO DI ISTRUZIONE ""M. Curie"" - PERGINE VALSUGANA",LICEO DELLE SCIENZE UMANE,Scuola Secondaria di Secondo Grado,Statale,"Via S Pietro, 4",PERGINE VALSUGANA,0461/511397,0461/531743,curie@pec.provincia.tn.it,segr.curie.pergine@scuole.provincia.tn.it,www.curiepergine.it,TNPS00401L,38057
"ISTITUTO COMPRENSIVO DEL CHIESE ""Don L. Milani""","SCUOLA PRIMARIA ""PADRE C. GNESOTTI"" STORO",Scuola Primaria,Statale,"Via Papaleoni, 5",STORO,0465/686039,0465/687076,ic.chiese-storo@pec.provincia.tn.it,segr.ic.chiese@scuole.provincia.tn.it,www.istitutodelchiese.it,TNEE83804A,38089
ISTITUTO COMPRENSIVO BASSA ANAUNIA - TUENNO,SCUOLA PRIMARIA FLAVON,Scuola Primaria,Statale,"Via Nazionale - Flavon,  ",CONTÁ,0461/655783,0461/655783,ic.bassaanaunia@pec.provincia.tn.it,segr.ic.denno@scuole.provincia.tn.it,www.icbassaanauniatuenno.it,TNEE82906N,38010
ISTITUTO COMPRENSIVO RIVA 1,SCUOLA PRIMARIA NAGO TORBOLE,Scuola Primaria,Statale,"Via De Bonetti,  ",NAGO-TORBOLE,0464/553088,0464/553088,riva1@pec.provincia.tn.it,segr.riva1@scuole.provincia.tn.it,www.riva1.it,TNEE841035,38069
Scuola dell'infanzia di Dambel,Scuola dell'Infanzia di Dambel,Scuola dell'infanzia,Paritaria,"Via Garibaldi, 33",DAMBEL,0463-437181,,dambel.presidente@fpsm.tn.it,dambel.segretario@fpsm.tn.it,,,38010
ISTITUTO COMPRENSIVO FOLGARIA - LAVARONE - LUSERNA,Scuola dell'Infanzia di Folgaria,Scuola dell'infanzia,Statale,"Via Roma, 30",FOLGARIA,0464/721362,0464/723563,scuolainfanzia.folgaria@scuole.provincia.tn.it,segr.rella.folgaria@scuole.provincia.tn.it,www.icfolgarialavaroneluserna.it,,38064
"ISTITUTO DI ISTRUZIONE ""A. Degasperi"" - BORGO VALSUGANA",LICEO SCIENTIFICO,Scuola Secondaria di Secondo Grado,Statale,"Via XXIV Maggio, 7",BORGO VALSUGANA,0461/753647,0461/753364,degasperi@pec.provincia.tn.it,segr.istalcidedegasperi@scuole.provincia.tn.it,www.istalcidedegasperi.it,TNPS002011,38051
"LICEO ""A. Rosmini"" - ROVERETO",LICEO SCIENTIFICO OPZIONE SCIENZE APPLICATE,Scuola Secondaria di Secondo Grado,Statale,"Corso Bettini, 86",ROVERETO,0464/437700,0464/420025,rosmini.rovereto@pec.provincia.tn.it,segr.liceorosmini@scuole.provincia.tn.it,www.liceorosmini.eu,TNPC02000A,38068
ISTITUTO COMPRENSIVO PERGINE 1,SCUOLA PRIMARIA CANEZZA,Scuola Primaria,Statale,"Via Delle Scuole, 4",PERGINE VALSUGANA,0461/532261,0461/533167,ic.pergine1@pec.provincia.tn.it,segr.ic.pergine1@scuole.provincia.tn.it,www.icpergine1.it/,TNEE81403R,38057
ISTITUTO COMPRENSIVO PERGINE 1,"SCUOLA SECONDARIA DI PRIMO GRADO ""C. ANDREATTA"" PERGINE VALSUGANA",Scuola Secondaria di Primo Grado,Statale,"Via Caduti, 39",PERGINE VALSUGANA,0461/532261,0461/533167,ic.pergine1@pec.provincia.tn.it,segr.ic.pergine1@scuole.provincia.tn.it,www.icpergine1.it/,TNMM81401N,38057
ISTITUTO COMPRENSIVO CEMBRA,SCUOLA PRIMARIA CEMBRA,Scuola Primaria,Statale,"Via dei Ciclamini - Cembra, 1/1",CEMBRA LISIGNAGO,0461/683006,0461/682166,ic.cembra@pec.provincia.tn.it,segr.cembra@scuole.provincia.tn.it,www.iccembra.it,TNEE82201N,38034
"ISTITUTO DI ISTRUZIONE ""L. Guetti"" - TIONE DI TRENTO",ISTITUTO TECNICO PER IL SETTORE ECONOMICO,Scuola Secondaria di Secondo Grado,Statale,"Via Durone, 53",TIONE DI TRENTO,0465/321735,0465/322811,guetti@pec.provincia.tn.it,segr.guetti@scuole.provincia.tn.it,www.guetti.tn.it,TNTD00701X,38079
Scuola dell'infanzia di Pietramurata,Scuola dell'Infanzia di Pietramurata,Scuola dell'infanzia,Paritaria,"Piazza Mercato, 11",DRO,0464-507142,,pietramurata.presidente@fpsm.tn.it,pietramurata.segretario@fpsm.tn.it,,,38074
ISTITUTO COMPRENSIVO VAL RENDENA,"SCUOLA SECONDARIA DI PRIMO GRADO ""L. DA VINCI"" PINZOLO",Scuola Secondaria di Primo Grado,Statale,"Via Collini Borciol, 18",PINZOLO,0465/501139,0465/512119,ic.valrendena@pec.provincia.tn.it,segr.ic.valrendena@scuole.provincia.tn.it,www.icvalrendena.it,TNMM83401V,38086
ISTITUTO COMPRENSIVO TRENTO 1,"SCUOLA PRIMARIA ""G. TOMASI"" VILLAZZANO",Scuola Primaria,Statale,"Piazza Monsignor Nicolini,  7",TRENTO,0461/912740,0461/912065,ic.trento1@pec.provincia.tn.it,segr.ic.tn1@scuole.provincia.tn.it,www.ictrento1.it,TNEE81902V,38123
"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""F. e G. Fontana"" - ROVERETO",ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO,Scuola Secondaria di Secondo Grado,Statale,"Via Del Teatro, 4",ROVERETO,0464/436100,0464/434116,fontana@pec.provincia.tn.it,segr.fontana@scuole.provincia.tn.it,www.fgfontana.eu,TNTD020009,38068
"ISTITUTO DI ISTRUZIONE ""M. Curie"" - PERGINE VALSUGANA",LICEO SCIENTIFICO,Scuola Secondaria di Secondo Grado,Statale,"Via S Pietro, 4",PERGINE VALSUGANA,0461/511397,0461/531743,curie@pec.provincia.tn.it,segr.curie.pergine@scuole.provincia.tn.it,www.curiepergine.it,TNPS00401L,38057
ISTITUTO COMPRENSIVO VILLA LAGARINA,"SCUOLA PRIMARIA ""P. LODRON"" VILLA LAGARINA",Scuola Primaria,Statale,"Via Stockstadt Am Rhein, 9",VILLA LAGARINA,0464/411312,0464/411705,ic.villalagarina@pec.provincia.tn.it,segr.ic.villalagarina@scuole.provincia.tn.it,www.icvillalagarina.it,TNEE846038,38060
Scuola dell'infanzia di Madonna di Campiglio,Scuola dell'Infanzia di Madonna di Campiglio,Scuola dell'infanzia,Paritaria,"Via Serafini, 13",TRE VILLE,0465-442779,0465 442779,madonna.campiglio.segretario@fpsm.tn.it,madonna.campiglio.segretario@fpsm.tn.it,,,38070
"ISTITUTO DI ISTRUZIONE ""don L.Milani"" - ROVERETO",ISTITUTO PROFESSIONALE PER IL SETTORE DEI SERVIZI,Scuola Secondaria di Secondo Grado,Statale,"Via Balista, 6",ROVERETO,0464/485511,0464/485550,donmilani@pec.provincia.tn.it,segr.donmilani@scuole.provincia.tn.it,http://www.domir.it,TNRC009018,38068
Scuola dell'infanzia di S. Lorenzo in Banale,Scuola dell'Infanzia di S. Lorenzo In Banale,Scuola dell'infanzia,Paritaria,"Strada del Toat - San Lorenzo, 4",SAN LORENZO DORSINO,0465-734005,,san.lorenzo.banale.segretario@fpsm.tn.it,san.lorenzo.banale.segretario@fpsm.tn.it,,,38078
Scuola dell'infanzia di Nomi,Scuola dell'Infanzia di Nomi,Scuola dell'infanzia,Paritaria,"Via Baroni Del Moll, 2",NOMI,0464-835294,,nomi.segretario@fpsm.tn.it,nomi.segretario@fpsm.tn.it,,,38060
"ISTITUTO COMPRENSIVO BASSA VAL DI SOLE ""G. Ciccolini""",SCUOLA PRIMARIA CALDES,Scuola Primaria,Statale,"Via Al Castello, 26",CALDES,0463/901237,0463/902866,ic.bassavaldisole@pec.provincia.tn.it,segr.ciccolini.male@scuole.provincia.tn.it,www.icbassavaldisole.it,TNEE833014,38022
"ISTITUTO DI ISTRUZIONE ""L. Guetti"" - TIONE DI TRENTO",LICEO LINGUISTICO,Scuola Secondaria di Secondo Grado,Statale,"Via Durone, 53",TIONE DI TRENTO,0465/321735,0465/322811,guetti@pec.provincia.tn.it,segr.guetti@scuole.provincia.tn.it,www.guetti.tn.it,TNPS007014,38079
"LICEO SCIENTIFICO ""L. Da Vinci"" - TRENTO",LICEO SCIENTIFICO,Scuola Secondaria di Secondo Grado,Statale,"Via Madruzzo, 24",TRENTO,0461/984099,0461/986257,davinci@pec.provincia.tn.it,segr.liceodavinci@scuole.provincia.tn.it,www.liceodavincitn.it,TNPS02000D,38122
